index,month,day,hour,dni,temp,wind,step_weight,azimuth,zenith,Absorbed power (kW),Field efficiency (%),Max flux (kW/m^2),Average flux (kW/m^2),Peak concentration ratio (-),Average concentration ratio (-),Shadowing and cosine efficiency (%),Blocking efficiency (%),Reflection and attenuation efficiency (%),Intercept efficiency (%),Absorption efficiency (%),Field efficiency w/o receiver (%)
1,1.0,8.0,8.398702424578232,391.58578899536855,6.1,4.199999999999999,7.0,130.7415101829102,75.72923844226386,2260.955292285611,31.59015988012798,54.19615629326577,0.7016582977606762,138.4017444358962,1.7918380019888183,68.37608143644883,99.75794505103117,88.1618,55.81181692901747,94.12251250876021,33.56280982956953
2,1.0,8.0,9.398702424578232,518.6075509478048,8.414285714285713,3.542857142857143,7.0,142.3396856983438,67.24798108915036,3710.3366261237697,39.14364366197349,86.46315347892447,1.1469432600165261,166.72174040062623,2.2115822608451765,85.0157758910698,99.78230897612656,88.19839999999999,55.69981274089157,93.92771025349147,41.67422324714708
3,1.0,8.0,10.398702424578232,561.7402991459523,10.4,4.357142857142858,7.0,156.09207028003237,60.92620850470022,4358.799004496084,42.45394309515679,101.63752025724044,1.3499655149918717,180.93328965674368,2.4031843843931187,92.04386278425099,99.82774369167934,88.2406,55.691882945125705,94.01812541022704,45.155062292423416
4,1.0,8.0,11.398702424578232,494.416608804688,11.428571428571427,3.1,7.0,171.76324650854056,57.49826391806498,3926.749647319211,43.453717193745796,88.74694976386486,1.2158242847836263,179.49831818640024,2.459108903568245,94.08254564885594,99.8542435968056,88.2294,55.768846593901536,94.00400547088707,46.225388988561086
5,1.0,8.0,12.398702424578232,642.6744072445298,12.614285714285714,3.157142857142857,7.0,188.2355962472062,57.492400126152525,5145.0561769764645,43.80118771128074,116.93309493133329,1.5741048901388097,181.94764504888968,2.449303834717479,94.24677291292252,99.85474437502691,88.2582,56.12481561329854,93.95950087742708,46.61709279237304
6,1.0,8.0,13.398702424578232,559.6310427329523,13.085714285714284,2.9285714285714284,7.0,203.91312849850542,60.90965863163066,4400.110322521813,43.01783409960512,100.82764854419004,1.3137367658460182,180.1680765452168,2.3475051695316944,91.76550642008003,99.83290065864801,88.211,56.65609854695924,93.95631486328853,45.78493118019622
7,1.0,8.0,14.398702424578232,476.3895203194557,13.485714285714286,2.157142857142857,7.0,217.67549093998258,67.22313953291832,3524.9876859857945,40.48388444406546,81.9825749710799,1.0127680295905457,172.09147446422477,2.1259242413884487,85.09701651763254,99.81733274032658,88.13839999999999,57.53159334101713,93.99187589400728,43.07168471636666
8,1.0,8.0,15.398702424578232,376.10452273611844,13.185714285714283,2.728571428571428,7.0,229.28483207450427,75.69859704424061,2280.2796653350674,33.17159314661765,51.241897259009214,0.6294049343255286,136.24376778622636,1.6734840882706696,68.20294417499917,99.79940024071972,88.2354,58.68582667865871,94.11507455812747,35.24578108486772
11,1.0,15.0,8.443850913078677,434.945090452344,5.6571428571428575,4.642857142857142,7.0,129.95650094837674,74.90151559691708,2587.0793222739835,32.54333699103881,60.86074698382836,0.7998956041574773,139.92742605861588,1.8390726133397293,70.32686969693569,99.75052059847866,88.2638,55.84346846335225,94.11755134583233,34.577330716413584
12,1.0,15.0,9.443850913078677,583.2372998126779,8.657142857142858,4.271428571428571,7.0,141.6704444573924,66.30558298412426,4221.99107677135,39.605800180624406,98.95520532561426,1.2996535174824984,169.6654266752081,2.228344308397142,85.90832620563009,99.78151920158086,88.1542,55.770472569848664,93.97797645984434,42.14370395339113
