helio_id,x_location,y_location,z_location,x_aimpoint,y_aimpoint,z_aimpoint,focal_length,slant_range
0,-121.07512104931915,235.18142011495436,0.0,0.48000000000000004,-0.32000000000000006,49.44574374157796,"(232.2252682797293, 232.2252682797293)",269.5949701007655
1,111.25163100470041,239.98449929774202,0.0,-0.4799999999999999,-0.3200000000000002,49.44574374157796,"(232.2252682797293, 232.2252682797293)",269.5831807139808
2,-163.5329790262005,177.61217915101645,0.0,0.3199999999999999,-0.4,49.30717967697245,"(232.2252682797293, 232.2252682797293)",246.91563868971792
3,148.75786998507613,199.46532364270652,0.0,0.3199999999999999,-0.4,49.30717967697245,"(232.2252682797293, 232.2252682797293)",253.7935121475871
4,167.06885197236826,153.7669383498232,0.0,-0.32000000000000023,-0.40000000000000013,49.30717967697245,"(232.2252682797293, 232.2252682797293)",232.84688233361177
5,-140.4016446609611,214.8679590167032,0.0,-0.48000000000000004,0.3200000000000002,50.55425625842204,"(232.2252682797293, 232.2252682797293)",261.08356169759793
6,162.0477856430282,168.85749877852547,0.0,0.3199999999999998,0.40000000000000036,50.692820323027554,"(232.2252682797293, 232.2252682797293)",238.9635277108558
7,-171.63861146213688,126.98572584320847,0.0,-0.1600000000000002,0.4800000000000002,50.83138438763306,"(232.2252682797293, 232.2252682797293)",219.07177476540159
8,156.05254514664736,184.21922962929276,0.0,-0.32000000000000023,-0.40000000000000013,49.30717967697245,"(232.2252682797293, 232.2252682797293)",246.91664745871438
9,-114.90460752916695,35.51461398031611,0.0,7.837739514543063e-17,-0.6400000000000002,48.89148748315592,"(162.30954885748267, 162.30954885748267)",130.00231725555184
10,131.4011955620809,220.48715935483,0.0,0.4799999999999999,0.3200000000000003,50.55425625842204,"(232.2252682797293, 232.2252682797293)",261.09322153518644
11,-128.74606509981547,57.92247396986877,0.0,0.48000000000000004,-0.56,49.03005154776143,"(162.30954885748267, 162.30954885748267)",150.07838491133313
12,101.23802356801703,244.37747009173242,0.0,0.48000000000000004,-0.32000000000000006,49.44574374157796,"(232.2252682797293, 232.2252682797293)",269.20979320371157
13,-111.2516310047003,239.98449929774205,0.0,-0.48000000000000004,0.3200000000000002,50.55425625842204,"(232.2252682797293, 232.2252682797293)",268.8217983812345
14,-169.87047012148625,118.16702129334284,0.0,-0.1600000000000002,0.4800000000000002,50.83138438763306,"(232.2252682797293, 232.2252682797293)",212.68687850574824
15,119.06881982647047,47.80177474699451,0.0,-7.837739514543067e-17,0.6400000000000005,51.10851251684408,"(162.30954885748267, 162.30954885748267)",137.8901624621537
16,-148.75786998507613,199.46532364270652,0.0,0.3199999999999998,0.40000000000000036,50.692820323027554,"(232.2252682797293, 232.2252682797293)",253.8128767981749
17,-117.03479156663808,41.5004552964714,0.0,7.837739514543063e-17,-0.6400000000000002,48.89148748315592,"(162.30954885748267, 162.30954885748267)",133.6537988908505
18,-168.0505836343782,109.76670168211373,0.0,0.15999999999999986,0.4800000000000002,50.83138438763306,"(232.2252682797293, 232.2252682797293)",206.93528758995353
19,124.1704651427291,181.71185462519344,0.0,0.6399999999999999,-0.4,49.30717967697245,"(232.2252682797293, 232.2252682797293)",225.512086995584
20,164.98286266266177,145.66453773215505,0.0,-0.32000000000000034,0.48000000000000015,50.83138438763306,"(232.2252682797293, 232.2252682797293)",225.80393273752716
21,91.0514109461989,248.35282536967514,0.0,-0.6400000000000001,-0.3200000000000002,49.44574374157796,"(232.2252682797293, 232.2252682797293)",269.6115177302325
22,-101.23802356801703,244.37747009173242,0.0,-0.48000000000000004,0.3200000000000002,50.55425625842204,"(232.2252682797293, 232.2252682797293)",268.8344487723851
23,-131.40119556208083,220.48715935483003,0.0,0.48000000000000004,-0.32000000000000006,49.44574374157796,"(232.2252682797293, 232.2252682797293)",261.90328928707805
24,140.38687116769935,205.44304714964255,0.0,0.48000000000000004,-0.4,49.30717967697245,"(232.2252682797293, 232.2252682797293)",253.72522662810343
25,122.1761955744737,225.72957021722783,0.0,-0.4799999999999999,-0.3200000000000002,49.44574374157796,"(232.2252682797293, 232.2252682797293)",261.89278738131515
26,-165.88956348405554,101.57609618354886,0.0,0.15999999999999986,0.4800000000000002,50.83138438763306,"(232.2252682797293, 232.2252682797293)",200.93956264400015
27,-161.2057196188587,86.20458324740676,0.0,0.15999999999999986,0.5600000000000003,50.96994845223857,"(162.30954885748267, 162.30954885748267)",189.66239941790772
28,-163.7022629897585,93.78203180203214,0.0,0.15999999999999986,0.4800000000000002,50.83138438763306,"(162.30954885748267, 162.30954885748267)",195.29449559389917
29,-156.0525451466473,184.21922962929278,0.0,0.3199999999999998,0.40000000000000036,50.692820323027554,"(232.2252682797293, 232.2252682797293)",246.6001704976087
30,-162.0477856430282,168.85749877852547,0.0,0.3199999999999999,-0.4,49.30717967697245,"(232.2252682797293, 232.2252682797293)",239.67185207086825
31,-167.0688519723683,153.76693834982314,0.0,-0.32000000000000034,0.40000000000000024,50.692820323027554,"(232.2252682797293, 232.2252682797293)",232.15589470268466
32,80.70920099392754,251.9037716655226,0.0,-0.6400000000000001,-0.3200000000000002,49.44574374157796,"(232.2252682797293, 232.2252682797293)",269.5911813648397
33,5.467415438140109,264.4609473491705,0.0,0.7999999999999998,-0.24,49.58430780618347,"(232.2252682797293, 232.2252682797293)",269.34546566637965
34,-91.0514109461988,248.35282536967517,0.0,0.6399999999999999,0.3200000000000003,50.55425625842204,"(232.2252682797293, 232.2252682797293)",269.2272834019812
35,-5.467415438140109,264.4609473491705,0.0,-0.8000000000000003,0.24,50.41569219381653,"(232.2252682797293, 232.2252682797293)",269.02831784841345
36,148.3054338023201,190.51146872737652,0.0,-0.4799999999999999,-0.40000000000000013,49.30717967697245,"(232.2252682797293, 232.2252682797293)",247.0131416971289
