index,month,day,hour,dni,temp,wind,step_weight,azimuth,zenith,Absorbed power (kW),Field efficiency (%),Max flux (kW/m^2),Average flux (kW/m^2),Peak concentration ratio (-),Average concentration ratio (-),Shadowing and cosine efficiency (%),Blocking efficiency (%),Reflection and attenuation efficiency (%),Intercept efficiency (%),Absorption efficiency (%),Field efficiency w/o receiver (%)
1,1.0,8.0,8.398702424578232,391.58578899536855,6.1,4.199999999999999,7.0,130.7415101829102,75.72923844226386,2402.261576477627,33.56449706623838,55.41157968070638,0.6504079167061377,141.505594017769,1.6609589392270576,68.38732083585651,99.82621834326642,88.1566,59.291800089541994,94.06118960190729,35.6836833642999
2,1.0,8.0,9.398702424578232,518.6075509478048,8.414285714285713,3.542857142857143,7.0,142.3396856983438,67.24798108915036,3882.7997944862723,40.96311113553516,90.3471424748094,1.0898063625458014,174.21100465986538,2.1014085902800224,85.01181096173754,99.84602965119707,88.1988,58.20696546790366,94.00376130537586,43.576034157255116
3,1.0,8.0,10.398702424578232,561.7402991459523,10.4,4.357142857142858,7.0,156.09207028003237,60.92620850470022,4498.784613118538,43.8173785406702,104.31238493609256,1.3047486468288347,185.69503575706597,2.3226901271148304,92.03591451336973,99.8753340480848,88.2358,57.50075460307878,93.95338740552168,46.63735896135985
4,1.0,8.0,11.398702424578232,494.416608804688,11.428571428571427,3.1,7.0,171.76324650854056,57.49826391806498,4022.087207114194,44.508730050015174,90.8933776390884,1.1849831009015765,183.83965267435926,2.3967299637575215,94.05584352603289,99.88960145444983,88.22579999999999,57.10644922635609,94.02825521092058,47.33548437134657
5,1.0,8.0,12.398702424578232,642.6744072445298,12.614285714285714,3.157142857142857,7.0,188.2355962472062,57.492400126152525,5245.492753916351,44.656230145862615,119.6963799967586,1.5433807687439478,186.24731068716042,2.401497167689004,94.26077387718178,99.88307326955237,88.2604,57.1612982263502,94.01370857957049,47.49970065064168
6,1.0,8.0,13.398702424578232,559.6310427329523,13.085714285714284,2.9285714285714284,7.0,203.91312849850542,60.90965863163066,4481.7445880576515,43.81593438215693,102.6772281938804,1.289849817966363,183.47307485384874,2.3048217834153646,91.7911074239059,99.86305097043352,88.208,57.66218020325314,93.97830409702125,46.62345719382452
7,1.0,8.0,14.398702424578232,476.3895203194557,13.485714285714286,2.157142857142857,7.0,217.67549093998258,67.22313953291832,3579.948977352418,41.115105533838076,82.54033486104147,0.996915925205515,173.26228084465805,2.092648731099304,85.10294611679468,99.8502474320838,88.1454,58.426785012282224,93.94983606684895,43.76282839342379
8,1.0,8.0,15.398702424578232,376.10452273611844,13.185714285714283,2.728571428571428,7.0,229.28483207450427,75.69859704424061,2317.4425610598205,33.712207736955875,51.079236792657724,0.6166980900930995,135.81128038839302,1.6396986816502224,68.20798884981846,99.82772690180434,88.232,59.630336058128975,94.10384902441625,35.82447273565705
11,1.0,15.0,8.443850913078677,434.945090452344,5.6571428571428575,4.642857142857142,7.0,129.95650094837674,74.90151559691708,2753.070720103254,34.63137269626929,63.36942817739628,0.7396334761350539,145.69523732637586,1.7005214965545035,70.31893580838044,99.82619690734732,88.26079999999999,59.412943748198224,94.08144084115293,36.80999396548452
12,1.0,15.0,9.443850913078677,583.2372998126779,8.657142857142858,4.271428571428571,7.0,141.6704444573924,66.30558298412426,4410.555310248667,41.37469007558514,101.96452948115378,1.2369309609308687,174.82511751889393,2.120802221202488,85.88985687805966,99.84049444453268,88.1474,58.26322511442298,93.9468285110267,44.04053945336636
